Country,State,Year,"Cognizable Crimes Reported By Ipc (UOM:Number), Scaling Factor:1","Registered Murder Cases (UOM:Number), Scaling Factor:1","Registered Cases Of Offence Against State (UOM:Number), Scaling Factor:1","Cases Reported Under The Prevention Of Corruption Act And Related Sections Of Ipc (UOM:Number), Scaling Factor:1","Value Of Property Stolen (UOM:INR(IndianRupees)), Scaling Factor:10000000","Value Of Property Recovered (UOM:INR(IndianRupees)), Scaling Factor:10000000","Cases Registered By Railway Protection Force (UOM:Number), Scaling Factor:1","Registered Cases Of Crime Or Atrocities Against Scheduled Castes (Scs) (UOM:Number), Scaling Factor:1","Registered Cases Of Crime Or Atrocities Against Scheduled Tribes (Sts) (UOM:Number), Scaling Factor:1","Cognizable Crimes Registered Under Sll (Special & Local Laws) (UOM:Number), Scaling Factor:1","Cognizable Crimes Registered Under Ipc (Indian Penal Code) And Sll (Special & Local Laws) (UOM:Number), Scaling Factor:1","Cases Registered Under Crime Against Women (Including Both Ipc And Sll (Special & Local Laws Crimes) (UOM:Number), Scaling Factor:1","Cases Of Crime Against Foreigners (UOM:Number), Scaling Factor:1","Registered Cyber-Crime Cases (UOM:Number), Scaling Factor:1","Cases Registered Under Economic Offences (UOM:Number), Scaling Factor:1","Cases Registered Under Environment Related Offences (UOM:Number), Scaling Factor:1","Cases Registered Under Ipc And Sll (Special & Local Laws) In Which Juveniles Were Apprehended (UOM:Number), Scaling Factor:1"
India,Goa,"Calendar Year (Jan - Dec), 2018",2740,29,22,11,8.5523679,2.8907685,464,5,5,1144,3884,362,34,29,215,5,20
India,Gujarat,"Calendar Year (Jan - Dec), 2018",147574,1072,42,333,311.6975968,80.6461043,74214,1426,311,245620,393194,8329,3,702,4049,102,2040
India,Haryana,"Calendar Year (Jan - Dec), 2018",108212,1104,418,107,230.0743929,65.8951568,14950,961,0,83017,191229,14326,8,418,5744,37,1178
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2018",14604,99,81,28,17.9433154,6.9744091,323,130,1,4990,19594,1633,8,69,600,270,232
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2018",23686.32004294739581960560,177.04096166887506786210,274.85364767377842027210,82.16265624411881602440,32.670336513285534791265409950,10.866871550858126544211345950,2602.79557459047820763010,0.97812686004903352410,0.00000000000000000000,2993.06819175004258374600,26679.38823469743840335160,3361.82201798852822233170,0.00000000000000000000,71.40326078357944725930,684.68880203432346687000,7.82501488039226819280,278.76615511397455436850
India,Jharkhand,"Calendar Year (Jan - Dec), 2018",45287,1712,191,90,36.9524726,3.3581224,25715,537,224,10377,55664,7083,0,930,4186,155,79
India,Karnataka,"Calendar Year (Jan - Dec), 2018",126534,1334,112,378,244.7861671,97.2726557,34396,1325,322,36882,163416,13514,28,5839,7215,400,528
India,Kerala,"Calendar Year (Jan - Dec), 2018",186958,292,341,142,66.5384875,23.4171778,28458,887,138,325209,512167,10461,10,340,5522,5750,475
India,Ladakh,"Calendar Year (Jan - Dec), 2018",529.67995705260418039440,3.95903833112493213790,6.14635232622157972790,1.83734375588118397560,0.730582986714465208734590050,0.243007949141873455788654050,58.20442540952179236990,0.02187313995096647590,0.00000000000000000000,66.93180824995741625400,596.61176530256159664840,75.17798201147177766830,0.00000000000000000000,1.59673921642055274070,15.31119796567653313000,0.17498511960773180720,6.23384488602544563150
India,Lakshadweep,"Calendar Year (Jan - Dec), 2018",48,1,4,0,0.0047,0,0,0,0,29,77,11,0,4,0,1,0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2018",248354,1879,223,256,171.5216465,63.2015371,89036,4753,1868,156775,405129,28942,6,740,2955,139,5232
India,Maharashtra,"Calendar Year (Jan - Dec), 2018",346291,2199,423,936,1403.388913,754.1719575,223289,1974,526,169383,515674,35497,63,3511,14854,1010,5880
India,Manipur,"Calendar Year (Jan - Dec), 2018",2869,52,307,4,11.9940741,1.090442,0,0,1,912,3781,271,0,29,144,1,10
India,Meghalaya,"Calendar Year (Jan - Dec), 2018",2921,95,22,1,12.3668622,1.3812276,0,0,0,561,3482,571,0,74,257,45,71
India,Mizoram,"Calendar Year (Jan - Dec), 2018",1774,27,0,7,3.5943446,1.8425381,0,0,0,577,2351,249,1,6,69,1,31
India,Nagaland,"Calendar Year (Jan - Dec), 2018",1223,31,12,16,7.4321362,1.5900537,214,0,0,552,1775,75,0,2,103,0,10
India,Odisha,"Calendar Year (Jan - Dec), 2018",83769,1378,15,494,119.3392197,34.3524747,41897,1778,557,23639,107408,20274,0,843,3226,8,1078
India,Puducherry,"Calendar Year (Jan - Dec), 2018",3606,29,13,0,4.9098899,1.7406835,295,7,0,1068,4674,166,0,14,68,63,10
India,Punjab,"Calendar Year (Jan - Dec), 2018",41640,684,39,176,102.5439463,31.1491528,20967,168,0,28678,70318,5302,5,239,4835,35,236
India,Rajasthan,"Calendar Year (Jan - Dec), 2018",171889,1508,125,372,247.2385618,119.4587436,66487,4607,1095,78657,250546,27866,21,1104,21309,9784,2068
India,Sikkim,"Calendar Year (Jan - Dec), 2018",620,12,3,0,1.31837,0.29715,0,5,1,249,869,172,0,1,43,0,9
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",185912,1569,2241,264,144.1564249,96.5504381,79383,1413,15,313276,499188,5822,51,295,3865,14536,2304
India,Telangana,"Calendar Year (Jan - Dec), 2018",113951,786,53,139,160.570656,113.3627941,16839,1507,419,12907,126858,16027,5,1205,10390,483,1408
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2018",574.00000000000000000000,12.00000000000000000000,1.00000000000000000000,2.00000000000000000000,6.705733900000000000000000000,2.003774300000000000000000000,0.00000000000000000000,1.00000000000000000000,3.00000000000000000000,75.00000000000000000000,649.00000000000000000000,54.00000000000000000000,0.00000000000000000000,0.00000000000000000000,53.00000000000000000000,2.00000000000000000000,15.00000000000000000000
India,Tripura,"Calendar Year (Jan - Dec), 2018",5325,137,17,6,5.4135877,0.9776255,83,1,0,753,6078,907,0,20,173,0,44
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",342355,4018,2503,84,324.4339257,94.1189138,140386,11924,145,242802,585157,59445,62,6280,22822,1693,1048
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",14739,211,8,17,18.2205321,11.5187513,6225,58,7,19976,34715,2817,2,171,1528,194,179
India,West Bengal,"Calendar Year (Jan - Dec), 2018",157610,1933,184,9,97.1373321,47.4827765,54107,119,101,30453,188063,30394,6,335,9682,64,503
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2017",638,9,1,7,1.171352,0.5271764,0,0,2,2376,3014,132,0,3,40,2,16
